date,count,directions,directions_lag1,directions_lag2,directions_lag3,directions_roll7,precip,temp,sun,wind,precip_lag1,is_weekend_or_holiday,weather_severity,dow_mean_count,weekend_x_severity,weekend_x_intent,month
2025-09-04,7405,5069.0,5123.0,5186.0,5657.0,5904.428571428572,27.5,27.104166666666668,0.5285714285714286,2.1416666666666666,0.0,0,2,6770.714285714285,0,0.0,9
2025-09-05,6764,5530.0,5069.0,5123.0,5186.0,5844.714285714285,8.5,26.870833333333334,0.42142857142857143,2.529166666666667,27.5,0,1,7220.118644067797,0,0.0,9
2025-09-06,14222,8558.0,5530.0,5069.0,5123.0,6178.571428571428,0.0,25.6875,0.8428571428571429,2.379166666666667,8.5,1,0,11853.169491525423,0,8558.0,9
2025-09-07,14815,8397.0,8558.0,5530.0,5069.0,6217.142857142857,0.0,28.53333333333333,0.5642857142857143,4.004166666666666,0.0,1,0,12127.36507936508,0,8397.0,9
2025-09-08,8002,5596.0,8397.0,8558.0,5530.0,6208.428571428572,40.0,26.895833333333332,0.16428571428571428,2.2041666666666666,0.0,0,2,8486.285714285714,0,0.0,9
2025-09-09,7291,5266.0,5596.0,8397.0,8558.0,6219.857142857143,0.0,27.075,0.40714285714285714,2.3833333333333333,40.0,0,0,6847.360655737705,0,0.0,9
2025-09-11,6520,5402.0,5266.0,5596.0,8397.0,6259.714285714285,49.0,25.829166666666666,0.43571428571428567,2.279166666666667,0.0,0,2,6770.714285714285,0,0.0,9
2025-09-12,6009,6039.0,5402.0,5266.0,5596.0,6398.285714285715,24.5,25.383333333333336,0.03571428571428571,2.058333333333333,49.0,0,2,7220.118644067797,0,0.0,9
2025-09-13,16593,8856.0,6039.0,5402.0,5266.0,6873.428571428572,0.5,27.47083333333333,0.10714285714285714,5.370833333333334,24.5,1,1,11853.169491525423,1,8856.0,9
2025-09-14,17226,9878.0,8856.0,6039.0,5402.0,7062.0,29.5,26.458333333333332,0.0642857142857143,2.25,0.5,1,2,12127.36507936508,2,9878.0,9
2025-09-15,16957,8090.0,9878.0,8856.0,6039.0,7018.142857142857,0.0,27.099999999999998,0.42857142857142855,1.9541666666666666,29.5,1,0,8486.285714285714,0,8090.0,9
2025-09-16,7603,5098.0,8090.0,9878.0,8856.0,6947.0,0.0,26.724999999999998,0.6785714285714286,2.2083333333333335,0.0,0,0,6847.360655737705,0,0.0,9
2025-09-17,7010,4817.0,5098.0,8090.0,9878.0,6882.857142857143,6.5,28.191666666666666,0.7923076923076924,2.591666666666667,0.0,0,1,6192.406779661017,0,0.0,9
2025-09-18,6499,4839.0,4817.0,5098.0,8090.0,6802.428571428572,38.0,24.34166666666667,0.0,3.3791666666666664,6.5,0,2,6770.714285714285,0,0.0,9
2025-09-19,9276,5355.0,4839.0,4817.0,5098.0,6704.714285714285,0.0,23.383333333333336,0.3692307692307692,3.4458333333333333,38.0,0,0,7220.118644067797,0,0.0,9
2025-09-20,12571,7310.0,5355.0,4839.0,4817.0,6483.857142857143,12.0,25.1375,0.1769230769230769,5.629166666666666,0.0,1,2,11853.169491525423,2,7310.0,9
2025-09-21,17204,8406.0,7310.0,5355.0,4839.0,6273.571428571428,10.0,23.1875,0.43846153846153846,3.1166666666666667,12.0,1,1,12127.36507936508,1,8406.0,9
2025-09-22,14198,6556.0,8406.0,7310.0,5355.0,6054.428571428572,0.0,21.733333333333334,0.6307692307692307,2.8874999999999997,10.0,0,0,8486.285714285714,0,0.0,9
2025-09-23,13139,6901.0,6556.0,8406.0,7310.0,6312.0,0.0,22.441666666666666,0.2153846153846154,2.379166666666667,0.0,1,0,6847.360655737705,0,6901.0,9
2025-09-24,10883,4645.0,6901.0,6556.0,8406.0,6287.428571428572,0.0,23.620833333333334,0.47692307692307695,6.1125,0.0,0,0,6192.406779661017,0,0.0,9
2025-09-25,7201,4668.0,4645.0,6901.0,6556.0,6263.0,0.0,22.820833333333336,0.02307692307692308,6.5,0.0,0,0,6770.714285714285,0,0.0,9
